temperature_c,residence_time_s,steam_hc_kgkg,pressure_bar,ramp_exponent,x_c2h6,s_c2h4_mol,heat_MJ_per_kg_ethane,y_c2h4_kg_per_kg_ethane,y_ch4_kg_per_kg_ethane,y_h2_kg_per_kg_ethane,y_c2h2_kg_per_kg_ethane,y_c3h6_kg_per_kg_ethane,y_c3h8_kg_per_kg_ethane,carbon_residual,hydrogen_residual,oxygen_residual
816.0430085638009,0.4921398999567596,0.3379680413088647,4.31568419241608,3.771469165231964,0.19228850232525174,0.9760920654491603,1.696241832003239,0.17510778876971345,0.004092693485429407,0.012376621668437707,0.00025235698940741653,0.0,0.00039929943814473505,5.10702591327572e-15,1.4951977235963643e-15,-1.4563546711792065e-14
754.2323689841947,0.15873795135133859,0.45015715222047603,4.489153816455125,0.7210301023925368,0.05869772129643991,0.9843584113840286,0.7993819293106537,0.05390584560723111,0.0008442317068081905,0.003826952699791255,2.3901669213483603e-05,0.0,6.853792224750285e-05,2.5757174171303632e-14,8.286601691234263e-15,-5.61475111500334e-14
824.2631095178396,0.2825226546781393,0.4147356847940746,3.2486046696308692,1.8701889689271467,0.2347678551825364,0.9743215728950505,1.9646462141152905,0.21340388203479,0.0051888249597137615,0.015095922791364454,0.00046123384381750233,0.0,0.000542868192429891,1.9984014443252818e-15,1.6838590383118062e-15,-4.490530958741846e-15
943.5352497280774,0.06154674454016038,0.12848358712939215,1.0785228770093784,1.6132223667298455,0.479557694333823,0.9315304144035239,3.4669605431260777,0.41677270354927703,0.024310877030279655,0.0293202381017269,0.005185435201137136,0.0,0.00361146518373386,-6.084022174945858e-14,1.6205415593592138e-13,1.2010232088739178e-13
874.4577331066337,0.022693879634917636,0.1154773414612085,4.607280390402117,2.4502213003744147,0.04776183998718231,0.9629433837813123,1.2077418950868892,0.04290848366952129,0.0013925841062778172,0.0030143060468434207,4.902361809529241e-05,0.0,0.00025423769662572476,8.881784197001252e-16,5.563719227004782e-16,-4.895907646693578e-15
954.0271039653347,0.4319820006615692,0.09336282346055516,4.9386200859818175,3.359228385879718,0.8049097911279327,0.8915806663149767,4.779530926908572,0.6695287292833588,0.0737874498567149,0.0457103339274243,0.014155729415720025,0.0,0.0016041194866165808,-1.7763568394002505e-15,6.6138355017264854e-15,4.096424319424626e-15
758.127483943425,0.9852630172765214,0.05382340037287207,4.686242953822788,1.090675035484819,0.2046190897210135,0.973814672406586,1.3880585314719067,0.1859018992009648,0.00515415572985346,0.013065005845862477,0.00013632124297693378,0.0,0.00033661073079659695,0.0,0.0,-6.178882563030102e-16
756.8379780763737,0.10694628314853145,0.4815538870455845,3.1282188338790675,0.7624149713248995,0.039823795235764625,0.9847502207691644,0.7326713755601971,0.03658727777619226,0.0005380201587473426,0.0026001700370104548,1.6099543789151935e-05,0.0,4.916078558272146e-05,2.6645352591003757e-15,9.339924555694059e-16,-6.629906638357753e-15
914.3599845756116,0.27251793797990453,0.13278459379135593,2.3762837216657764,3.6074609281487597,0.5582273529247103,0.9437944535655476,3.694426322784063,0.4915298512811358,0.025722500166647105,0.03440811654719215,0.004167310733626068,0.0,0.00222769888229559,3.3306690738754696e-15,-9.649200731452297e-16,-2.0287026758637956e-14
934.9537507325737,0.5837054042527501,0.20963977365899283,3.7264395816095295,0.5659156004439735,0.8881666760830457,0.7911932378769531,4.782598087031513,0.6555991862178813,0.15279871103296477,0.043011571544639804,0.03527786061749085,0.0,0.0013988245534207625,1.5543122344752192e-15,-1.8559377058664532e-15,-4.917779861861863e-15
