temperature_c,residence_time_s,steam_hc_kgkg,pressure_bar,ramp_exponent,x_c2h6,s_c2h4_mol,heat_MJ_per_kg_ethane,y_c2h4_kg_per_kg_ethane,y_ch4_kg_per_kg_ethane,y_h2_kg_per_kg_ethane,y_c2h2_kg_per_kg_ethane,y_c2h6_kg_per_kg_ethane,y_co_kg_per_kg_ethane,y_co2_kg_per_kg_ethane,y_c3_kg_per_kg_ethane,y_c4plus_kg_per_kg_ethane,carbon_residual,hydrogen_residual,oxygen_residual,mass_residual
835.9946794755372,0.27671872720123153,0.5133081575159915,3.8726350179373954,1.0256497719980795,0.2358045564730371,0.9418055400638715,2.0535822092782725,0.2071928661281894,0.005365962474541606,0.015063985488318834,0.00033487375652480587,0.7641954435269629,2.088931509208837e-06,2.440245448537229e-10,0.001886452546669605,0.005929972043464905,2.942091015256665e-13,-1.403958109179032e-12,2.823515214482747e-13,2.220446049250313e-16
774.945170415972,0.4820606158965906,0.288858674143553,2.832767925218858,1.8031152382173938,0.04872239442826787,0.958500981356205,0.8098125717946474,0.043569497354629116,0.0007316491787648468,0.0031387175183158287,1.4662004975977536e-05,0.9512776055717321,5.915434772515685e-09,9.166310890179354e-14,8.517635468886286e-05,0.0011770235438296132,-1.5543122344752192e-15,-8.92730665330032e-16,1.6118465524573879e-15,-1.1102230246251565e-16
824.5399723071487,0.081962198142976,0.49062272022342285,4.2203721654069835,3.4353442767679354,0.022803125010132708,0.9582555479302649,1.01473472885267,0.020386237291910775,0.00035120768749787864,0.001465456618386952,5.280503603992293e-06,0.9771968749898673,3.95971816978348e-10,2.825993935070635e-15,2.474706577742008e-05,0.0005569376857834621,1.3322676295501878e-15,-8.140040306053413e-16,-1.6268393109661779e-15,6.661338147750939e-16
772.1770548343703,0.205928564897417,0.5405721145082242,4.238774496434258,3.8311884174519135,0.011974304752654374,0.9645601879918877,0.6987307170461937,0.010775588647985586,0.0001533855513621783,0.0007745740543387913,1.1019117606334882e-06,0.9880256952473456,7.447236398423908e-11,4.2720926157368977e-16,6.061705938988621e-06,0.0002588517555778404,2.886579864025407e-15,3.3002522738602154e-15,-2.7069492282961942e-15,1.3322676295501878e-15
867.0773053789756,0.2669850805148704,0.2454521607494964,2.358452400133898,1.0091867910163872,0.4037054127318179,0.9243587202353329,2.8393681302803704,0.3481500641178578,0.012768849114895455,0.02557366622409571,0.0009072720554520888,0.5962945872681821,6.857677742974445e-06,7.07838882943802e-10,0.004901129161018297,0.011355259304160271,3.9612757518625585e-13,-1.7567161825100566e-12,3.869656504769525e-13,0.0
911.9488434635296,0.47072742181969274,0.15719447059861444,4.200522135044457,3.977662460295435,0.508577494833838,0.8948039668338446,3.4339402009760143,0.42456716466853706,0.023328430924860668,0.03152767674396134,0.0016428327553868118,0.49142250516616204,1.5087526720158918e-05,1.6817852781250815e-09,0.009320031058114514,0.018119477120419673,-1.9761969838327786e-14,7.459604035762425e-14,-6.558514769759091e-15,0.0
909.3425965616836,0.33912107224751575,0.09322370762954903,1.7146233711515144,2.1654770488647905,0.5718749111668162,0.9046537053898085,3.6985124950129262,0.48266385235393183,0.023601471552297484,0.035998595740040766,0.0021696916718435904,0.42812508883318373,9.456011016580594e-06,5.782876255884117e-10,0.007699988200378115,0.019674798528594162,5.3290705182007514e-14,-2.2432403325111853e-13,5.921923449683864e-14,4.440892098500626e-16
832.4699055407038,0.4532071302986065,0.023654258683015877,4.432199875803668,3.2322673672708127,0.10172719138108643,0.9320165936042151,1.2116930004874382,0.08845493409054961,0.002552022228074155,0.006400794818757987,6.0043907850215476e-05,0.8982728086189136,8.589627069721874e-09,2.9344056622788317e-14,0.0005451009338686197,0.0037028505371756544,1.9984014443252818e-15,-2.0162742797371245e-14,9.121139572970787e-14,4.440892098500626e-16
790.8996738999368,0.034600214560566604,0.35687841546884547,4.328795986011231,1.0879986552444354,0.008969220524204014,0.9582225381907616,0.7273361369764951,0.00801830271619928,0.0001358670608096379,0.000576230827206396,7.550033380673458e-07,0.991030779475796,1.780245155390496e-11,4.5741438916068845e-17,4.950572856895204e-06,0.00022682859596293568,6.661338147750939e-16,1.8525902811747633e-15,-4.100279548383674e-15,-1.1102230246251565e-16
977.1828783891162,0.11772684340114149,0.6198716531190176,4.7753486494746795,2.4621748747704806,0.745186937707951,0.8706190755337124,5.204430075646316,0.6052778434516204,0.039203914760155174,0.04699081042499839,0.009261058247394338,0.254813062292049,0.00024106865722064788,1.6176455699613539e-07,0.011291415889217027,0.03277575301524497,1.6209256159527285e-14,-1.27679280575032e-14,-1.4807726288352808e-14,4.440892098500626e-16
